,datetime_utc,_conds,_dewptm,_fog,_heatindexm,_hum,_pressurem,_tempm,_vism,_wdird,_wdire,_wspdm,Date,year,month,day,hour
170,1996-11-10 01:00:00,Smoke,7.0,0,27.5,63.0,1013.0,14.0,2.0,0.0,North,0.0,1996-11-10 01:00:00,1996.0,11.0,10.0,1.0
286,1996-11-15 11:00:00,Smoke,5.0,0,27.01645907,29.0,1018.0,24.0,4.0,270.0,West,11.1,1996-11-15 11:00:00,1996.0,11.0,15.0,11.0
549,1996-11-27 13:00:00,Smoke,9.0,0,27.13345196,56.0,1014.0,18.0,1.625,0.0,North,1.4,1996-11-27 13:00:00,1996.0,11.0,27.0,13.0
575,1996-11-28 19:00:00,Smoke,5.0,0,27.14501779,55.0,1015.0,14.0,0.7,0.0,North,0.0,1996-11-28 19:00:00,1996.0,11.0,28.0,19.0
687,1996-12-04 15:00:00,Smoke,6.0,0,27.19483986,55.0,1015.0,15.0,1.5,0.0,North,0.0,1996-12-04 15:00:00,1996.0,12.0,4.0,15.0
726,1996-12-06 14:00:00,Smoke,4.0,0,27.21218861,48.0,1018.0,15.0,1.3,0.0,North,0.0,1996-12-06 14:00:00,1996.0,12.0,6.0,14.0
727,1996-12-06 15:00:00,Smoke,5.0,0,27.21263345,58.0,1019.0,13.0,1.2,0.0,North,0.0,1996-12-06 15:00:00,1996.0,12.0,6.0,15.0
900,1996-12-14 19:00:00,Smoke,2.0,0,27.28959075,66.0,1014.0,8.0,1.2,0.0,North,0.0,1996-12-14 19:00:00,1996.0,12.0,14.0,19.0
1102,1996-12-24 02:00:00,Shallow Fog,7.0,1,27.3794484,87.0,1019.0,9.0,0.7,0.0,North,0.0,1996-12-24 02:00:00,1996.0,12.0,24.0,2.0
1105,1996-12-24 05:00:00,Smoke,7.0,0,27.38078292,55.0,1020.0,16.0,1.8,250.0,WSW,11.1,1996-12-24 05:00:00,1996.0,12.0,24.0,5.0
1546,1997-01-13 06:00:00,Smoke,5.0,0,27.576957300000004,48.0,1020.0,16.0,2.0,250.0,WSW,11.1,1997-01-13 06:00:00,1997.0,1.0,13.0,6.0
1589,1997-01-15 05:00:00,Smoke,9.0,0,27.59608541,67.0,1020.0,15.0,0.7,280.0,West,5.6,1997-01-15 05:00:00,1997.0,1.0,15.0,5.0
1616,1997-01-17 04:00:00,Smoke,7.0,0,27.60809609,67.0,1020.0,13.0,1.5,240.0,WSW,13.0,1997-01-17 04:00:00,1997.0,1.0,17.0,4.0
1630,1997-01-17 18:00:00,Smoke,5.0,0,27.61432384,67.0,1019.0,11.0,0.7,0.0,North,0.0,1997-01-17 18:00:00,1997.0,1.0,17.0,18.0
